y;x;color
0.8345320661726474;1;normal
0.7780286645690636;2;normal
0.7203447309242081;3;normal
0.7190502933500349;4;normal
0.6683569714883693;5;normal
0.667573245599575;6;normal
0.6669681140161817;7;normal
0.6658888620911199;8;normal
0.6656790618197982;9;normal
0.6244450094490397;10;normal
0.6097329858952398;11;normal
0.6087678747872409;12;normal
0.6032589975849144;13;normal
0.6007450384457333;14;normal
0.5584629477843688;15;normal
0.55340945711058;16;special
0.5451369872335254;17;normal
0.543318688634524;18;normal
0.5344596070200716;19;normal
0.49976294158370127;20;normal
0.49908428647994574;21;normal
0.49801595131052845;22;normal
0.497333112759755;23;normal
0.48809516954576915;24;normal
0.4845780047346129;25;normal
0.4494821749147583;26;normal
0.44772022346154317;27;normal
0.44668271182816344;28;normal
0.436128552700928;29;normal
0.4252592596720848;30;special
0.42291282545087827;31;normal
0.40866379648175777;32;normal
0.3606469573919201;33;normal
0.3600745919476178;34;normal
0.3528641555445283;35;normal
0.35281959100375093;36;normal
0.35165962997318745;37;normal
0.3507374460863997;38;normal
0.3481997671137964;39;normal
0.34605059384012926;40;normal
0.33460535387343415;41;normal
0.3258270523325264;42;normal
0.3146380406942638;43;normal
0.3130122015919343;44;normal
0.3124543662658781;45;normal
0.30514699941639845;46;normal
0.3016692806336977;47;normal
0.29968508238682134;48;normal
0.29684473710061066;49;normal
0.29608131602005916;50;normal
0.2930603974370636;51;normal
0.2911091440122291;52;normal
0.2672186971083026;53;normal
0.26455439258859426;54;normal
0.24556313984983702;55;normal
0.23428259068338664;56;normal
0.2327507487150402;57;normal
0.22556180179569352;58;normal
0.2183724909253273;59;normal
0.21732746373769896;60;normal
0.21580198022020547;61;normal
0.21470613659231852;62;normal
0.21467984119016792;63;normal
0.21415181886746615;64;normal
0.21353146252923239;65;normal
0.21317247163199138;66;normal
0.2128756775170425;67;normal
0.2094328256174347;68;normal
0.20822235857885174;69;normal
0.20776052946572932;70;normal
0.2067760285564697;71;normal
0.2042656306803935;72;normal
0.20417454508756017;73;normal
0.2021937455603383;74;normal
0.20200480820565847;75;normal
0.20160533845867668;76;normal
0.20042367193975186;77;normal
0.1995422545030372;78;normal
0.19879588672502135;79;normal
0.1947373338031516;80;normal
0.19383677002374478;81;normal
0.19321134096811377;82;normal
0.1915666396300869;83;normal
0.19147061365923185;84;special
